ESTACIàN;CàDIGO;X=N;Y=E;MUNICIPIO;CUENCA;A¥O;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;SUMAMESES;PROMEDIOMESES;PROMEDIOMESESNOCERO
Zipaquir ;2120074;1047850;1007620;Zipaquir ;R. Negro;1939;21,1;30,4;80,1;64,2;0;4,9;34,2;22,6;26,6;161,1;58,1;35;538,3;44,86;48,94
El Hato No. 5;2401056;1068490;1013862;Carmen de Carupa;R. El Hato;1975;26;107;312;304;171;302;260;235;178;309;215;295;2714;226,17;226,17
Sta Rosa;3502019;960000;987700;Santafe de Bogot ;R. Blanco;1961;32,7;38,5;110;202,5;156;292;291;459,5;395,5;252;357;125,5;2712,2;226,02;226,02
El Bosque;2120085;986200;995560;Santafe de Bogot ;R. Tunjuelo;1967;54;25,5;128;156,1;207,1;314,5;217,5;240,1;109,1;77,5;280,2;51,1;1860,7;155,06;155,06
Alto Saboya;2401520;1123700;1029290;Saboy ;R. Su rez;1988;24,8;74,5;11,5;188,8;121;164,3;85,7;105,8;191,3;125,1;208,5;126,5;1427,8;118,98;118,98
San Miguel de Sema;2401531;1102290;1040620;San Miguel de Sema;Lag. F£quene;2006;137;60;273;260;204;84;19;15;41;281;215;177;1766;147,17;147,17
La Lumbre;2120525;1003730;987701;Santafe de Bogot ;R. Tunjuelo;1979;3;7;49,5;89;61,5;57,5;27,5;53;53;47,5;122,5;180;751;62,58;62,58
La Virginia;2120046;1037985;1001130;Tabio;R. Fr¡o;1958;34,2;19,6;53,8;72,8;86,3;66,2;24,6;51,1;18,1;118,8;218,5;47;811;67,58;67,58
Guanquica No. 1;2120033;1065130;1015270;Tausa;Emb. Neusa;1969;2,2;8;3,4;44,7;76,2;40,3;36,2;35,9;36,5;94,4;98,6;37,9;514,3;42,86;42,86
Tocancip ;2120104;1040820;1017940;Tocancip ;R. Bogot ;1986;23;101;131,5;4,5;110,5;136;25,5;33,5;132,5;227,5;125;1,5;1052;87,67;87,67
La Uni¢n;2120055;1030640;980540;Subachoque;R. Subachoque;1974;79;66,5;186,5;105,5;65,5;57,5;47,5;61,5;148,5;131;134;29,5;1112,5;92,71;92,71
El Mu¤a;2120561;993600;981280;Sibat‚;Emb. Mu¤a;1978;0,5;12,5;55,7;76;98,9;46,5;19,8;20,2;17,8;36;31,3;36,2;451,4;37,62;37,62
Los Arrayanes;2401031;1109880;1040300;Tinjac ;R. Su rez;1978;0;59;194;179;106;39,5;13;69,1;71;158,5;93;201;1183,1;98,59;107,55
El Hato No. 4;2401055;1069875;1012800;Carmen de Carupa;R. El Hato;1981;58;30;59;135;269;44;44;77;66;117;161;43;1103;91,92;91,92
Tisquesusa;2120631;1021250;977080;Facatativ ;R. Subachoque;2002;5,4;22,6;89,2;121,8;28;63;11,6;16,8;4,8;108,4;0;0;471,6;39,3;47,16
Alco;2120159;1041700;1008000;Cajic ;R. Bogot ;1996;32,1;57;76,9;27,2;24,5;9,8;9,2;23;8,8;1,1;0;0;269,6;22,47;26,96
Sutamarch n;2401029;1113200;1050440;Sutamarch n;R. Sutamarch n;1978;0;35;135;181;85;10;42;5;42;68;32;56;691;57,58;62,82
El Placer;2123502;1007762;928174;Puli;R. Magddalena;2016;34,3;65,6;80,4;235,1;71,5;39;86,1;55,5;73,2;168,2;127,5;132,4;1168,8;97,4;97,4
Barrancas;2120633;1062200;1025740;Tausa;R. Checua;1996;22;30;84;107;79,1;41;65;52,4;58,5;145,5;90,9;95,9;871,3;72,61;72,61
Usaqu‚n;2120111;1010630;1005770;Santafe de Bogot ;R. Bogot ;1984;160;72;82;88;30;93;20;75;52;60;120;45;897;74,75;74,75
Alto de Aire;2120168;1065500;1028300;Cucunuba;R. Checua;2014;30,8;48,1;107,9;40;36,2;60,9;59,3;29,9;31,9;40,5;91,1;58,7;635,3;52,94;52,94
Novilleros;2401519;1080650;1032380;Ubat‚;R. Ubat‚;2015;18,6;53,1;60,6;30;29,9;38,2;29,3;13,6;8,5;10,1;40,6;6,5;339;28,25;28,25
El Mu¤a;2120561;993600;981280;Sibat‚;Emb. Mu¤a;1977;9;5,1;49,6;55,1;24,3;26;37,3;47;50,7;105,8;38,7;11,7;460,3;38,36;38,36
Sutamarch n;2401029;1113200;1050440;Sutamarch n;R. Sutamarch n;1995;11;77,5;135,3;59;39;51,5;53;62;0;109,5;87;65,5;750,3;62,53;68,21
La Picota;2120156;995500;994600;Santafe de Bogot ;R. Tunjuelo;2003;12,4;35,6;49,7;47,1;8,6;0;0;13,6;45,3;54,5;59,7;34,3;360,8;30,07;36,08
Potrerito;3509505;1097510;1125520;Aquitania;Lag. Tota;1978;13;12;0;0;0;135;58,5;95;82,5;107;41;15;559;46,58;62,11
